N,종목명,현재가,전일비,등락률,액면가,매출액,자산총계,영업이익
1185.0,대유에이텍,1150.0,하락  3,-0.26%,500.0,5669.0,3360.0,361.0
1186.0,미래에셋 -1.5X 천연가스 선물 ETN,21400.0,상승  175,+0.82%,0.0,,,
1187.0,마니커,834.0,상승  7,+0.85%,500.0,3396.0,1604.0,22.0
1188.0,HANARO CAPEX설비투자iSelect,14290.0,상승  40,+0.28%,0.0,,,
1189.0,코오롱인더우,18840.0,상승  70,+0.37%,5000.0,,,
1190.0,씨티알모빌리티,6050.0,상승  30,+0.50%,500.0,4442.0,2981.0,5.0
1191.0,금호전기,928.0,상승  21,+2.32%,500.0,534.0,529.0,-82.0
1192.0,RISE 글로벌원자력,20395.0,상승  410,+2.05%,0.0,,,
1193.0,천일고속,36200.0,상승  200,+0.56%,5000.0,440.0,547.0,-51.0
1194.0,삼성 인버스 2X 나스닥 100 ETN,10280.0,하락  230,-2.19%,0.0,,,
1195.0,롯데칠성우,66100.0,보합0,0.00%,500.0,,,
1196.0,RISE 미국배당100데일리고정커버드콜,10195.0,상승  45,+0.44%,0.0,,,
1197.0,한일철강,1907.0,하락  2,-0.10%,500.0,2163.0,3310.0,49.0
1198.0,SOL 미국TOP5채권혼합40 Solactive,13745.0,상승  90,+0.66%,0.0,,,
1199.0,한투 레버리지일본니케이225선물 ETN(H),20300.0,상승  305,+1.53%,0.0,,,
1200.0,KODEX 미국달러선물인버스,7705.0,하락  20,-0.26%,0.0,,,
1201.0,삼성 레버리지 금 선물 ETN(H),50535.0,하락  465,-0.91%,0.0,,,
1202.0,아진전자부품,1025.0,상승  8,+0.79%,500.0,1134.0,946.0,20.0
1203.0,RISE AI&로봇,9100.0,상승  150,+1.68%,0.0,,,
1204.0,KODEX Top10동일가중,7295.0,상승  110,+1.53%,0.0,,,
1205.0,미래에셋 0.5X 코스피200 선물 ETN,10040.0,보합0,0.00%,0.0,,,
1206.0,성보화학,2505.0,하락  5,-0.20%,500.0,626.0,1656.0,2.0
1207.0,ACE 중장기국공채액티브,106820.0,하락  30,-0.03%,0.0,,,
1208.0,윌비스,745.0,하락  31,-3.99%,1000.0,2161.0,3029.0,-42.0
